Item Id,SKU,Type,Brand,Size,Color,Theme,Size Type,Fabric Type,Features,Pattern,Rise,Material,Character,Fabric Wash,Style,Accents,Department,Product Line,Performance/Activity,Personalize,Season,Occasion,Handmade,Vintage,Inseam,Country/Region of Manufacture,Waist Size,Model,Garment Care,MPN,California Prop 65 Warning,Personalization Instructions,
"264838266003","301922",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838266003","301921",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838266003","301920",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019508389","307312","Leggings","Interloper",,"Black","Modern Yoga Pants","Regular","Blended Fabric","Butt Lifting","Solid","Low (6.5-8.5 in)","Polyester Blend","Girls","Dark","Yoga Pants","Butt Lifting","Women","Yoga Pants Low Rise","Baseball,Basketball,Cheerleading,Cycling,Dance,Driving,Yoga","No","Fall,Spring,Summer,Winter","Activewear,Casual,Party/Cocktail,Travel","No","No","Multiple Sizes","Unknown","Multiple Sizes","Butt Lifting Yoga Pants","Machine Washable","Low-Rise-Butt-Lift-Yoga-Pants","","",
"255019508389","307315",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019508389","307314",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019508389","307313",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019508389","307970",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019508389","308123",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693700815","299046","Leggings","Interloper",,"Gray","Modern Yoga Pants","Regular","Blended Fabric","Comfort,Stretch","Solid","Low (6.5-8.5 in)","Polyester Blend","Girls","Medium","Yoga Pants","Butt Lifting","Women","Yoga Pants Low Rise","Cheerleading,Cycling,Dance,Driving,Yoga","No","Fall,Spring,Summer,Winter","Activewear,Casual,Travel","No","No","Multiple Sizes","","Multiple Sizes","Butt Lifting Pants","Machine Washable","Low-Rise-Butt-Lift-Yoga-Pants","","",
"254693700815","301897",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693700815","301896",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693700815","301895",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693700815","306867",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693700815","308122",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255017463489","307308","Leggings","Interloper",,"Red","Modern Yoga Pants","Regular","Blended Fabric","Comfort","Solid","","Polyester Blend","Girls","","Yoga Pants","","Women","Yoga Pants Low Rise","Cheerleading,CrossFit,Cross Training,Cycling,Dance,Driving,Yoga","","","Activewear,Casual,Travel","","No","Multiple Sizes","","Multiple Sizes","","","Low-Rise-Butt-Lift-Yoga-Pants","","",
"255017463489","307311",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255017463489","307310",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255017463489","307309",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265711346778","308167","Leggings","Zenana Outfitters",,"Cranberry","Modern Yoga Pants","Regular","Blended Fabric","Anti-Cellulite","Leopard Print","High (Greater than 10.5 in)","Polyester Blend","Girls","","Yoga Pants","","Women","Animal Print Leggings","Baseball,Basketball,Bodybuilding,Cheerleading,CrossFit,Cross Training,Cycling,Dance,Driving,Yoga","","","Activewear,Casual,Travel","","No","25 in","","Multiple Sizes","","","High-Waist-Leggings","","",
"265711346778","308170",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265711346778","308169",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265711346778","308168",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265711346778","308171",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693701046","297861","Leggings","Interloper",,"Neon Green","Athleisure","Regular","Blended Fabric","Tummy Control","Ruched","Mid (8.5-10.5 in)","Polyester Blend","Scrunchy Butt","Light","Yoga Pants","Bubble","Women","High Rise Pants","Baseball,Basketball,Beach,Bodybuilding,Cheerleading,CrossFit,Cross Training,Cycling,Dance,Driving,Yoga","No","Fall,Spring,Summer,Winter","Activewear,Casual,Party/Cocktail,Travel","No","No","26-27","China","24-36","High Rise Yoga Pants","Machine Washable","High-Waisted-Yoga-Pants","","",
"254693701046","301919",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693701046","301918",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693701046","301917",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254693701046","301916",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","297861","Leggings","Unbranded",,,"Yoga Pants",,"Blended Fabric","Anti-Cellulite,Breathable,Comfort,Compression,Elastic Waist","Bubble","High (Greater than 10.5 in)","Polyester Blend","Active Wear","Light","Activewear","Bubble","Women","High Waist Yoga Pants","Baseball,Basketball,Bodybuilding,Cheerleading,CrossFit,Cross Training,Cycling,Dance,Driving,Yoga","No","Fall,Spring,Summer,Winter","Activewear,Casual,Party/Cocktail,Travel","No","No","Variable","China","Variable","Women's Athleisure","Machine Washable","","","",
"265554443847","307355",,,"S","Black",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307356",,,"M","Black",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307357",,,"L","Black",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307358",,,"XL","Black",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307365",,,"S","Gray",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307366",,,"M","Gray",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307367",,,"L","Gray",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307368",,,"XL","Gray",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307360",,,"S","White",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307361",,,"M","White",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307362",,,"L","White",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","307363",,,"XL","White",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","301916",,,"S","Neon Green",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","301917",,,"M","Neon Green",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","301918",,,"L","Neon Green",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265554443847","301919",,,"XL","Neon Green",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
