Item Id,SKU,Type,Brand,Material,Mounting,Capacity,Product Line,Number of Items in Set,Color,Indoor/Outdoor,Features,Set Includes,Manufacturer Warranty,Item Height,Item Length,Item Width,Country/Region of Manufacture,MPN,Custom Bundle,California Prop 65 Warning,Bundle Description,Item Weight,
"255464910745","TRVAL61674","Lawn & Landscaping","Apache","","","","","2","Blue","","","","","","","","","149428","","","","",
"255476911150","ZX9AQSCP258","Lawn & Landscaping","GreenGrass","","","","","","","","","","","","","","","GR711000","","","","",
"265639812834","ZX9AQSCP260","Lawn & Landscaping","GreenGrass","","","","","","","","","","","","","","","GR727020","","","","",
"255488712549","AQSCP258","Lawn & Landscaping","Aquascape Inc","","","","","","","","","","","","","","","94003","","","","",
"265639642820","AQSCP259","Lawn & Landscaping","Aquascape Inc","","","","","1","","","","","","","","","","94004","","","","",
"255488650804","AQSCP260","Lawn & Landscaping","Aquascape Inc","","","","","","","","","","","","","","","94005","","","","",
"265623544085","AQSCP263","Lawn & Landscaping","Aquascape Inc","","","","","","Black","","","","","","","","","94008","","","","",
"255488668726","AQSCP265","Lawn & Landscaping","Aquascape Inc","","","","","","Black","","","","","","","","","94010","","","","",
"265639583395","AQSCP1314","Lawn & Landscaping","AquascapePRO","","","","","","","","","","","","","","","45033","","","","",
"255464883972","UNPS605","Lawn & Landscaping","Atlantic","","","","","","","","","","","","","","","TPT38100","","","","",
"255483904481","BSMR3655","Lawn & Landscaping","BOSMERE","","","","","","Green","","","","","","","","","K752","","","","",
"255483965626","KSAO169081","Lawn & Landscaping","CAMCO","","","","","","","","","","","","","","","C1W-22922","","","","",
"265644615734","SOLAVL1090","Lawn & Landscaping","Collomix","","","","","","","","","","","","","","","AQiX","","","","",
"255464902053","JNSN42716","Lawn & Landscaping","Colorite/swan","","","","","","","","","","","","","","","SNSS58100","","","","",
"265623543986","ZX9ACHR19416","Lawn & Landscaping","GardenGear","","","","","","","","","","","","","","","GA1678421","","","","",
"265634283669","TRVAL54281","Lawn & Landscaping","Dramm","","","","","2","","","","","","","","","","141219","","","","",
"265639804271","TRVAL54284","Lawn & Landscaping","Dramm","","","","","12","","","","","","","","","","172288","","","","",
"255488787058","TRVAL54282","Lawn & Landscaping","Dramm","","","","","12","","","","","","","","","","154784","","","","",
"265639686558","TRVAL54287","Lawn & Landscaping","Dramm","","","","","12","","","","","","","","","","154785","","","","",
"255483959331","TRVAL54280","Lawn & Landscaping","Dramm","Metal","","","","6","","","","","","","","","","117269","","","","",
"255483777478","TRVAL54286","Lawn & Landscaping","Dramm","Metal","","","","","","","","","","","","","","141220","","","","",
"265634251839","TRVAL117369","Lawn & Landscaping","Dramm","","","","","9","","","","","","","","","","183217","","","","",
"265639768567","TRVAL117367","Lawn & Landscaping","Dramm","","","","","","","","","","","","","","","214935","","","","",
"265639713421","TRVAL117368","Lawn & Landscaping","Dramm","","","","","4","","","","","","","","","","214988","","","","",
"265644500067","TRVAL116241","Lawn & Landscaping","Dramm","","","","","2","","","","","","","","","","228275","","","","",
"255464902940","JNSN44855","Lawn & Landscaping","Easy Heat","","","","","","","","","","","","","","","ADKS-600","","","","",
"265639634119","ACHR4265","Lawn & Landscaping","Ecosmart","","","","","","","","","","","","","","","4574901","","","","",
"255464894552","SSCH250","Lawn & Landscaping","Esschert Design","","","","","","","Outdoor","","","","","","","","W4010","","","","",
"255483939322","ACHR143834","Lawn & Landscaping","Fimco","","","","","","","","","","","","","","","7527120","","","","",
"255464877465","ACHR143833","Lawn & Landscaping","Fimco","","","","","","","","","","","","","","","7527583","","","","",
"255488670110","ACHR157930","Lawn & Landscaping","Fitt","","","","","","Red","","","","","","","","","7017576","","","","",
"255483826740","UNPS176","Lawn & Landscaping","Franklin Electric","","","","","","","","","","","","","","","566726","","","","",
"255464892813","ZX9PWS1212","Lawn & Landscaping","GardenCare","","","","","","","","","","","","","","","GA117760","","","","",
"255488656019","BCI44027","Lawn & Landscaping","Gardman, Usa","","","","","","","Indoor","","","","","","","","507778","","","","",
"255483956771","ORSNO251397","Lawn & Landscaping","Heat Star","","","","","","","","","","","","","","","373-F276334","","","","",
"255483889988","OCNTR37405","Lawn & Landscaping","HomeRoots","","","","","","Black","","","","","","","","","370593","","","","",
"255488734359","KSAO420712","Lawn & Landscaping","Icon","","","","","9","","","","","","","","","","I6S-12450","","","","",
"255593945002","MYN087","Lawn & Landscaping","MAYNE","","","","","","White","","","","","","","","","5847-W","","","","",
"255464905267","ORSNO337984","Lawn & Landscaping","Notrax","","","","","","","","","","","","","","","550-T43S6050RD","","","","",
"255464904181","TRVAL69398","Lawn & Landscaping","Orbit Underground","","","","","","","","","","","","","","","147639","","","","",
"265623490298","TRVAL69410","Lawn & Landscaping","Orbit Underground","","","","","","","","","","","","","","","173849","","","","",
"265623503407","ACHR153998","Lawn & Landscaping","Panacea Products","Steel","","","","6","","","","","","","","","","7010696","","","","",
"255464903498","PLFX6996","Lawn & Landscaping","Paramount Pool & Spa Products","","","","","","","","","","","","","","","006-502-4714-01","","","","",
"255464910249","JNSN44288","Lawn & Landscaping","Patina Products","Stainless Steel","","","","","","","","","","","","","","R267","","","","",
"265623555358","JNSN44287","Lawn & Landscaping","Patina Products","Stainless Steel","","","","","","","","","","","","","","R266","","","","",
"265623538245","JNSN44290","Lawn & Landscaping","Patina Products","Stainless Steel","","","","","","","","","","","","","","R263","","","","",
"255464865235","JNSN44289","Lawn & Landscaping","Patina Products","","","","","","","","","","","","","","","R279","","","","",
"265623550586","JNSN44285","Lawn & Landscaping","Patina Products","Stainless Steel","","","","","","","","","","","","","","R250","","","","",
"265639671563","JNSN92912","Lawn & Landscaping","Pondmaster","Plastic","","","","2","Black","","","","","","","","","22570","","","","",
"265634254723","JNSN79013","Lawn & Landscaping","Rain Bird","","","","","","","","","","","","","","","32ETI","","","","",
"265639631630","ZX9ACHR19438","Lawn & Landscaping","GardenGear","","","","","","","","","","","","","","","GA1682289","","","","",
"265644531123","ACHW48075","Lawn & Landscaping","Tarter Gate","Galvanized","","","","1","","","","","","","","","","7464084","","","","",
"265623497994","TRVAL128342","Lawn & Landscaping","Teknor-Apex","","","","","","","","","","","","","","","271534","","","","",
"255483862272","ZX9JNSN45661","Lawn & Landscaping","GrillsGoneWild","","","","","","","","","","","","","","","GR83775","","","","",
"255464910406","TRVAL72720","Lawn & Landscaping","Water Source","","","","","4","","","","","","","","","","241433","","","","",
"265623530445","TRVAL72729","Lawn & Landscaping","Water Source","","","","","5","","","","","","","","","","240355","","","","",
"255464892275","ACHR19389","Lawn & Landscaping","Watts","","","","","","","","","","","","","","","BR034012100R","","","","",
"265623546062","ZX9TRVAL72720","Lawn & Landscaping","PatioPlus","","","","","4","","","","","","","","","","PA138220","","","","",
"265623491090","ZX9TRVAL72729","Lawn & Landscaping","PatioPlus","","","","","5","","","","","","","","","","PA138223","","","","",
