Item Id,SKU,Size,Brand,Style,Size Type,Dress Length,Sleeve Length,Color,Occasion,Pattern,Material,Fabric Type,Neckline,Accents,Theme,Character,Vintage,Department,Sleeve Type,Features,Season,Closure,Country/Region of Manufacture,Personalize,Garment Care,Handmade,California Prop 65 Warning,MPN,Personalization Instructions,
"255872499347","308298","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255872499347","308299","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265618112452","308059",,"Unbranded","Bodycon,Mini","Regular","Short","Sleeveless","Black","Party/Cocktail","Solid","Polyester Blend","Knit","Halter","Strap","Clubwear","Party","No","Women","Off the Shoulder","Backless","Fall,Spring,Summer,Winter","Tie","China","No","Machine Washable","No","","Backless Halter Dress Black","",
"265618112452","308060","XS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265618112452","308061","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265618112452","308062","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265618112452","308063","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265618112452","308064","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255459365503","308053",,"Unbranded","Bodycon,Mini","Regular","Short","Sleeveless","Green","Party/Cocktail","Solid","Polyester Blend","Knit","Halter","Strap","Clubwear","Party","No","Women","Off the Shoulder","Backless","Fall,Spring,Summer,Winter","Tie","","","","","","","",
"255459365503","308054","XS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255459365503","308055","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255459365503","308056","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255459365503","308057","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255459365503","308058","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265750374235","308215",,"Gigio's","A-Line,Mini,Shift","Regular","Short","Short Sleeve","Gold","Business,Casual,Formal,Holy Communion,Party/Cocktail,Travel","Tweed","Tweed","Tweed","Round Neck","Tweed","Shift Dress","Party","No","Women","Short Sleeve","Suede and Tweed","Fall,Spring,Summer,Winter","Keyhole","","","","","","","",
"265750374235","308216","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265750374235","308217","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265750374235","308218","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"266039482635","308231",,"Fore","Maxi","Regular","Long","Sleeveless","Black","Formal","Solid","Polyester","Jersey","Off the Shoulder","Pleated","Formal","Formal Dress","No","Women","sleeveless","Single Shoulder","Fall,Spring,Summer,Winter","Zip","Unknown","No","Machine Washable","No","","Single Shoulder Maxi","",
"266039482635","308233","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"266039482635","308234","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254767456926","304901",,"Unbranded","Bodycon Cami Dress","Regular","Mini","Sleeveless","Midnight Navy, Coffee and Dark Mauve","Casual,Party/Cocktail,Wedding","Solid","Nylon","Microfiber","Scoop Neck","Spaghetti Strap","Bodycon","Bodycon Dress","No","Women","Spaghetti","bodycon","Fall,Spring,Summer,Winter","","","","","","","Bodycon Mini Dress","",
"254767456926","304903","L/XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254767456926","304902","S/M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
