Item Id,SKU,Type,Style,Material,Decade,Features,Original/Reproduction,Color,Size,Maker,California Prop 65 Warning,
"255463197492","JESC9473","Ceiling Lights","","Metal","","","","","","","",
"255476825027","JESC9421","Ceiling Lights","","Metal","","","","","","","",
"255474952881","JESC9427","Ceiling Lights","","","","","","","","","",
"255476752728","JESC9456","Ceiling Lights","","","","","","","","","",
"255476845653","JESC9429","Ceiling Lights","","","","","","","","","",
"255474958613","JESC9458","Ceiling Lights","","Silver","","","","Silver","","","",
"265634167082","JESC9482","Ceiling Lights","","","","","","","","","",
"265632691483","JESC9430","Ceiling Lights","","","","","","","","","",
"265632689039","JESC9431","Ceiling Lights","","","","","","","","","",
"255471802539","JESC11868","Ceiling Lights","","","","","","Black","","","",
"265629871021","JESC11877","Ceiling Lights","","","","","","Black","","","",
"265634198592","JESC11883","Ceiling Lights","","","","","","White","","","",
"265632676838","ZX9JESC5827","Ceiling Lights","","","","","","","Large","","",
"265621871446","LIVEX1864","Ceiling Lights","","Brass","","","","","","","",
"265621875303","LIVEX1865","Ceiling Lights","","Bronze","","","","","","","",
"255463229620","LIVEX1867","Ceiling Lights","","Nickel","","","","","","","",
"255463228258","LIVEX4603","Ceiling Lights","","Bronze","","","","","","","",
"255463232298","LIVEX4527","Ceiling Lights","","Nickel","","","","","","","",
"255463197438","LIVEX4626","Ceiling Lights","","Nickel","","","","","","","",
"255463215324","LIVEX1935","Ceiling Lights","","Bronze","","","","","","","",
"265621858809","LIVEX1936","Ceiling Lights","","Nickel","","","","","","","",
"265621878470","LIVEX2962","Ceiling Lights","","Nickel","","","","","","","",
"255463219586","LIVEX2988","Ceiling Lights","","Bronze","","","","","","","",
"265621863049","LIVEX2989","Ceiling Lights","","Nickel","","","","","","","",
"265621857534","LIVEX2990","Ceiling Lights","","Nickel","","","","","","","",
"255463228726","LIVEX2996","Ceiling Lights","","Nickel","","","","","","","",
"255463196594","LIVEX3015","Ceiling Lights","","Nickel","","","","","","","",
"255463241502","LIVEX3037","Ceiling Lights","","Gold","","","","Gold","","","",
"255463201535","LIVEX3038","Ceiling Lights","","Nickel","","","","","","","",
"265621856875","LIVEX395","Ceiling Lights","Antique","Brass","","","","","","","",
"255463215721","LIVEX397","Ceiling Lights","","Nickel","","","","","","","",
"265621864463","LIVEX372","Ceiling Lights","","","","","","Black","","","",
"255463215772","LIVEX425","Ceiling Lights","","Nickel","","","","","","","",
"265621869241","ZX9VXCL294","Ceiling Lights","","Stone","","","","","","","",
"265629927507","TRVAL114307","Ceiling Lights","","Bronze","","","","","","","",
"255463227936","FMBL1590","Ceiling Lights","","","","","","","","","",
"265621842829","FMBL1603","Ceiling Lights","","Gold","","","","Gold","","","",
"255476788518","ZX9JESC5816","Ceiling Lights","","","","","","","Medium","","",
"255463195464","TSTM2123","Ceiling Lights","","","","","","","","","",
"265621877070","TSTM2128","Ceiling Lights","","","","","","","","","",
"265621875765","ZX9DBMRL7190","Ceiling Lights","","","","Outdoor","","","","","",
"265629942235","TRVAL103189","Ceiling Lights","","","","","","","","","",
"265632675696","ACHR153113","Ceiling Lights","","","","","","Gray","","","",
"265632716655","ACHR153123","Ceiling Lights","","","","","","White","","","",
"255474972880","ACHR153114","Ceiling Lights","","","","","","White","","","",
"265621844939","VXCL294","Ceiling Lights","","Stone","","","","","","","",
"265621880361","VXCL700","Ceiling Lights","","","","","","","","","",
"255437762728","TRVAL50486","Ceiling Lights","","Brass","","","","","","","",
"255437762919","TRVAL50548","Ceiling Lights","","","","","","","","","",
