Item Id,SKU,Number of Drawers,Features,Material,Type,Brand,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"265735859292","SPRCH102880","3","","","Storage Cabinets","Lorell","LLR42297","","","","","","","",
"255581102594","SPRCH102881","3","","","Storage Cabinets","Lorell","LLR42298","","","","","","","",
"265735752952","SPRCH39588","","","","Storage Cabinets","Lorell","LLR49520","","","","","","","",
"255580961242","SPRCH39589","","","","Storage Cabinets","Lorell","LLR49521","","","","","","","",
"255580938672","SPRCH39590","","","","Storage Cabinets","Lorell","LLR49522","","","","","","","",
"265735894391","SPRCH39591","","","","Storage Cabinets","Lorell","LLR49523","","","","","","","",
"255581006724","SPRCH39592","","","","Storage Cabinets","Lorell","LLR49524","","","","","","","",
"255581077236","SPRCH39593","","","","Storage Cabinets","Lorell","LLR49525","","","","","","","",
"255581055048","SPRCH39594","","","","Storage Cabinets","Lorell","LLR49526","","","","","","","",
"265735804717","SPRCH39595","","","","Storage Cabinets","Lorell","LLR49527","","","","","","","",
"265735827210","SPRCH39597","","","","Storage Cabinets","Lorell","LLR49529","","","","","","","",
"255581138186","SPRCH39598","","","","Storage Cabinets","Lorell","LLR49530","","","","","","","",
"265735859738","SPRCH39606","","","","Storage Cabinets","Lorell","LLR49539","","","","","","","",
"265735681069","SPRCH39607","","","","Storage Cabinets","Lorell","LLR49540","","","","","","","",
"255580938502","SPRCH26219","","","","Storage Cabinets","Lorell","LLR60653","","","","","","","",
"255581192539","SPRCH26220","","","","Storage Cabinets","Lorell","LLR60654","","","","","","","",
"265735750850","SPRCH26221","","","","Storage Cabinets","Lorell","LLR60655","","","","","","","",
"265735622472","SPRCH26565","","","","Office","Lorell","LLR69395","","","","","","","",
"265735704428","SPRCH25189","","","","Office","Lorell","LLR69398","","","","","","","",
"265735749412","SPRCH83287","","","","Storage Cabinets","Lorell","LLR71104","","","","","","","",
"265735937971","SPRCH83288","","","","Storage Cabinets","Lorell","LLR71106","","","","","","","",
"255581092877","SPRCH40036","","Rolling","","Storage Cabinets","Lorell","LLR84858","","","","","","","",
"255581277636","SPRCH40037","","Rolling","","Storage Cabinets","Lorell","LLR84859","","","","","","","",
"255581201000","SPRCH86942","","","","Storage Cabinets","Lorell","LLR90280","","","","","","","",
"255581142605","SPRCH86943","","","","Storage Cabinets","Lorell","LLR90281","","","","","","","",
"265735809226","WNSMH1705","","","Wood","Storage Cabinets","Luxen Home","WHIF784","","","","","","","",
"255580948340","ZX9SPRCH29198","","","","Storage Cabinets","ComfortCreator","CO127460","","","","","","","",
"255581238465","ZX9ALBA1124","","","","Storage Cabinets","Clean Choice","CL1495441","","","","","","","",
"265735705708","ZX9SPRCH39589","","","","Storage Cabinets","NewestEdition","NE960681","","","","","","","",
"265735752211","ZX9SPRCH39590","","","","Storage Cabinets","NewestEdition","NE518870","","","","","","","",
"255581069736","ZX9SPRCH39588","","","","Storage Cabinets","NewestEdition","NE529637","","","","","","","",
"255581275619","ZX9SPRCH39595","","","","Storage Cabinets","NewestEdition","NE529640","","","","","","","",
"255581026389","ZX9SPRCH39594","","","","Storage Cabinets","NewestEdition","NE529639","","","","","","","",
"265735745074","ZX9SPRCH39593","","","","Storage Cabinets","NewestEdition","NE529638","","","","","","","",
"255581052065","ZX9SPRCH39591","","","","Storage Cabinets","NewestEdition","NE518871","","","","","","","",
"265735952863","ZX9SPRCH39597","","","","Storage Cabinets","NewestEdition","NE518872","","","","","","","",
"265735702585","ZX9SPRCH39592","","","","Storage Cabinets","NewestEdition","NE517902","","","","","","","",
"255581000979","ZX9SPRCH39598","","","","Storage Cabinets","NewestEdition","NE523846","","","","","","","",
"265735916470","ZX9SPRCH39606","","","","Storage Cabinets","NewestEdition","NE529641","","","","","","","",
"255581243356","ZX9SPRCH39607","","","","Storage Cabinets","NewestEdition","NE529642","","","","","","","",
"255580995033","ZX9SPRCH23138","","","","Storage Cabinets","NewestEdition","NE127360","","","","","","","",
"265735614284","RTL245016","3","Blueprint,Rolling","Wood","Lateral","Monarch Specialties","I7049","I 7049","","","","","","",
"255581245020","MNRCH3704","3","","Wood","Storage Cabinets","Monarch Specialties","I 7401","","","","","","","",
"255580961154","MNRCH3705","3","","Wood","Storage Cabinets","Monarch Specialties","I 7402","","","","","","","",
"255580991816","MNRCH3947","3","","","Storage Cabinets","Monarch Specialties","I 7403","","","","","","","",
"255581085510","RNCY1906","","","","Storage Cabinets","Niche","NPFF1527CH","","","","","","","",
"255581214980","RNCY1907","","","","Storage Cabinets","Niche","NPFF1527TF","","","","","","","",
"265735838759","RNCY1908","","","Wood","Storage Cabinets","Niche","NPFF1527WH","","","","","","","",
"265735890053","SSN65519","","","","Storage Cabinets","Pactiv","SAC0516","","","","","","","",
"265735753535","SSN65284","","","","Storage Cabinets","Pactiv","YCA910480000","","","","","","","",
"255581124417","SSN74334","9","","Plastic","Storage Cabinets","Pactiv","YEH899020000","","","","","","","",
"255581050654","SPRCH82955","","","","Storage Cabinets","Paperflow USA","PPR366014192344","","","","","","","",
"265735844312","SPRCH82956","","","","Storage Cabinets","Paperflow USA","PPR366014192346","","","","","","","",
"255581048155","ZX9SPRCH69135","","","","Storage Cabinets","SeatSolutions","SE525447","","","","","","","",
"255581284979","ZX9SPRCH69160","","","","Storage Cabinets","SeatSolutions","SE513459","","","","","","","",
"265735916603","SPRCH87915","5","","","Storage Cabinets","Rubbermaid Commercial Products","RCP3304CLECT","","","","","","","",
"255580973830","SPRCH87544","","","","Storage Cabinets","Rubbermaid Commercial Products","RCP3508WHICT","","","","","","","",
"265735891908","SPRCH28681","","","","Storage Cabinets","Rubbermaid Commercial Products","RCP409100","","","","","","","",
"265735738938","SPRCH28134","","","","Storage Cabinets","Rubbermaid Commercial Products","RCP452088BG","","","","","","","",
"265735658838","SFC687","8","","","Storage Cabinets","Safco","5390BL","","","","","","","",
"265735930480","SFC1031","","","","Storage Cabinets","Safco","9221BLR","","","","","","","",
"265735657641","SPRCH27291","","","","Storage Cabinets","Safco Products Company","SAF4128CH","","","","","","","",
"255581227957","SPRCH27292","","","","Storage Cabinets","Safco Products Company","SAF4139CH","","","","","","","",
"255581178819","SPRCH26084","","","","Storage Cabinets","Safco Products Company","SAF4322GR","","","","","","","",
"255581202426","SPRCH24941","","","","Storage Cabinets","Safco Products Company","SAF5212BL","","","","","","","",
"255581214868","SPRCH25234","","","","Storage Cabinets","Safco Products Company","SAF5213BL","","","","","","","",
"265735853779","SPRCH27788","","","","Storage Cabinets","Safco Products Company","SAF5238BL","","","","","","","",
"255581115721","SPRCH25939","","","","Storage Cabinets","Safco Products Company","SAF5337BL","","","","","","","",
"255581042444","SPRCH27177","","","","Storage Cabinets","Safco Products Company","SAF5362BL","","","","","","","",
"255580975001","SPRCH27079","","","","Storage Cabinets","Safco Products Company","SAF5373BL","","","","","","","",
"255581280202","SPRCH27578","","","","Storage Cabinets","Safco Products Company","SAF5577BL","","","","","","","",
"265735602639","SBBR109","2","","","Storage Cabinets","Saint Birch","SBSF4009LFWG","","","","","","","Honduras",
"255581216368","TRVAL118237","4","Rolling","","Storage Cabinets","Sam Pievac","228267","","","","","","","",
"255581161618","ZX9AZBUSHWC24453SU","","","","Storage Cabinets","FixturesFirst","FI182289","","","","","","","",
"265735866917","ZX9AZBUSHWC72453SU","8","","","Storage Cabinets","FixturesFirst","FI619679","","","","","","","",
"255580982219","SPRCH69193","","","","Storage Cabinets","SPRichards","LLR16214","","","","","","","",
"255581267043","SPRCH69178","","","","Storage Cabinets","SPRichards","LLR16215","","","","","","","",
"265735845405","SPRCH69135","","","","Storage Cabinets","SPRichards","LLR16216","","","","","","","",
"255580999011","SPRCH69160","","","","Storage Cabinets","SPRichards","LLR16217","","","","","","","",
"265735842653","SPRCH69170","","","","Storage Cabinets","SPRichards","LLR16218","","","","","","","",
"265735614178","SPRCH69153","","","","Storage Cabinets","SPRichards","LLR16219","","","","","","","",
"255581204490","ZX9SPRCH84250","","","","Storage Cabinets","Guest Room","GU1627510","","","","","","","",
"265735700264","SPRCH84250","","","","Storage Cabinets","Storex Industries","STX61418U01C","","","","","","","",
"265735945915","SPRCH84252","","","","Storage Cabinets","Storex Industries","STX61434U01C","","","","","","","",
"265735737873","SPRCH83368","","","","Storage Cabinets","Storex","STX61314U01C","","","","","","","",
"265735822054","SPRCH83369","","","","Storage Cabinets","Storex","STX61315U01C","","","","","","","",
"255581145376","SPRCH86652","","","","Storage Cabinets","The HON","HONHAUFHR15SLTL","","","","","","","",
"255581090984","SPRCH86653","","","","Storage Cabinets","The HON","HONHAUFHR15SSSL","","","","","","","",
"255581229233","AMFN1703","","","","Storage Cabinets","Tuff Stor","24205","","","","","","","",
"265735701777","AMFN1704","","","","Storage Cabinets","Tuff Stor","24215K","","","","","","","",
"255580938212","AMFN1705","","","","Storage Cabinets","Tuff Stor","24216K","","","","","","","",
"255581200638","ZX9AMFN1558","","","","Storage Cabinets","LatestLuxury","LA883470","","","","","","","",
"255581273702","SSN76006","","","","Storage Cabinets","Union & Scale","UN56949","","","","","","","",
"265735750448","SSN76013","","","","Storage Cabinets","Union & Scale","UN56968","","","","","","","",
"255581016077","ZX9SSN44260","","","","Storage Cabinets","FineFabrics","FI1615508","","","","","","","",
"255581087885","ZX9SSN44259","","","","Storage Cabinets","FineFabrics","FI1622544","","","","","","","",
"265735811127","ZX9SPRCH39548","","","","Storage Cabinets","NewestEdition","NE511637","","","","","","","",
"265735658952","AZVERTVF52002","2","","","Storage Cabinets","Vertiflex","VF52002","","","","","","","",
"255581180756","AZVERTVF52004","4","","","Storage Cabinets","Vertiflex","VF52004","","","","","","","",
"265735914102","AZVERTVF52005","2","","","Storage Cabinets","Vertiflex","VF52005","","","","","","","",
"265735877120","QKWY2127","","Lockable","","Storage Cabinets","Vintiquewise","QI003943.S","","","","","","","",
"255581191589","ZX9WNSMH1705","","","Wood","Storage Cabinets","ProComfort","PR1627133","","","","","","","",
