Item Id,SKU,Type,Set Includes,Compatible Plant Type,Material,Size,Color,Features,Indoor/Outdoor,Shape,Number of Items in Set,Brand,Item Height,Capacity,Item Width,Country/Region of Manufacture,Item Length,Personalize,Item Weight,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"265639550855","GRNM101","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","MLRRGB 48-50","","","","",
"265644479065","GRNM027","Lawn & Landscaping","","","","","Red","","","","","Gronomics","","","","","","","","PB 18-18","","","","",
"265639643960","GRNM029","Lawn & Landscaping","","","","","Red","","","","","Gronomics","","","","","","","","PB 18-34","","","","",
"265634297343","GRNM031","Lawn & Landscaping","","","","","Red","","","","","Gronomics","","","","","","","","PB 18-48","","","","",
"265639710736","GRNM115","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","REGB 18-34","","","","",
"265639709480","GRNM049","Lawn & Landscaping","","","Wood","","Brown","","","Rectangular","","Gronomics","","","","","","","","RGBT4848","","","","",
"265644504192","GRNM116","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","RPB 18-18","","","","",
"265644607164","GRNM117","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","RPB 18-34","","","","",
"265639788237","GRNM004","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","RPB 18-48","","","","",
"265644533462","ZX9STRGD1389","Lawn & Landscaping","","","Copper","Large","","","","","","Brujula","","","","","","","","BR2154700","","","","",
"255476965549","TWSCM1113","Lawn & Landscaping","","","","","Gold","","","","2","Tozai Home","","","","","","","","HIT902-S2","","","","",
"255669188559","OCNTR52917","Lawn & Landscaping","","","Metal","","Gold","","","","","HomeRoots","","","","","","","","389272","","","","",
"265623538107","OCNTR58767","Lawn & Landscaping","Pot","","Metal","","Black","","","","","HomeRoots","","","","","","","","399685","","","","",
"255483866711","SMTC008","Lawn & Landscaping","","","","","","","","","","Infinite Cedar","","","","","","","","Trio-3","","","","",
"265644490161","SMTC018","Lawn & Landscaping","","","","","","","","","","Infinite Cedar","","","","","","","","ElevatedPlanter48","","","","",
"255488648676","SMTC009","Lawn & Landscaping","","","","","","","","","","Infinite Cedar","","","","","","","","Trio-5","","","","",
"265639810500","SMTC1066","Lawn & Landscaping","","","","","","","","","2","Infinite Cedar","","","","","","","","RB2x10x11","","","","",
"265634259366","SMTC1063","Lawn & Landscaping","","","","","","","","","2","Infinite Cedar","","","","","","","","RB2x10x16.5","","","","",
"265639676852","SMTC1065","Lawn & Landscaping","","","","","","","","","2","Infinite Cedar","","","","","","","","RB2x12x11","","","","",
"265644606118","SMTC1062","Lawn & Landscaping","","","","","","","","","2","Infinite Cedar","","","","","","","","RB2x12x16.5","","","","",
"255488766810","SMTC1067","Lawn & Landscaping","","","","","","","","","2","Infinite Cedar","","","","","","","","RB2x8x11","","","","",
"265639686881","SMTC1064","Lawn & Landscaping","","","","","","","","","2","Infinite Cedar","","","","","","","","RB2x8x16.5","","","","",
"255483785949","SMTC1061","Lawn & Landscaping","","","","","","","","","4","Infinite Cedar","","","","","","","","RB4x4x16.5","","","","",
"265623490135","ACHR152557","Lawn & Landscaping","","","","","Black","","","","","Marshall Pottery","","","","","","","","7004602","","","","",
"265623532339","ACHR152556","Lawn & Landscaping","","","","","White","","","","","Marshall Pottery","","","","","","","","7004614","","","","",
"255464874427","MYN095","Lawn & Landscaping","Window Box","","","","White","","","","2","MAYNE","","","","","","","","4822-W","","","","",
"255483896014","MYN120","Lawn & Landscaping","Window Box","","","","Black","","","","5","MAYNE","","","","","","","","4832-B","","","","",
"265639683939","MYN124","Lawn & Landscaping","Window Box","","Plastic","","White","","","","","MAYNE","","","","","","","","4832-W","","","","",
"265623547294","MYN1545","Lawn & Landscaping","","","","","Gray","","","","","MAYNE","","","","","","","","4833-GRG","","","","",
"255464875839","MYN1558","Lawn & Landscaping","","","","","Gray","","","","","MAYNE","","","","","","","","4834-GRG","","","","",
"265623532084","MYN1548","Lawn & Landscaping","","","","","Gray","","","Square","","MAYNE","","","","","","","","4837-GRG","","","","",
"265623559650","MYN1553","Lawn & Landscaping","","","","","Gray","","","","","MAYNE","","","","","","","","4843-GRG","","","","",
"265639717717","MYN1555","Lawn & Landscaping","","","","","Gray","","","","5","MAYNE","","","","","","","","5824-GRG","","","","",
"265747299905","MYN1511","Lawn & Landscaping","","","","","Blue","","","Square","","MAYNE","","","","","","","","5873-NB","","","","",
"265623527716","MYN1509","Lawn & Landscaping","","","","","White","","","Square","","MAYNE","","","","","","","","5873-W","","","","",
"255593944737","MYN1517","Lawn & Landscaping","","","","","Blue","","","","","MAYNE","","","","","","","","5875-NB","","","","",
"265634257080","MYN1522","Lawn & Landscaping","","","","","White","","","","","MAYNE","","","","","","","","8828-W","","","","",
"255606557850","MYN1224","Lawn & Landscaping","","","","","Black","","","","","MAYNE","","","","","","","","8872-B","","","","",
"265623542290","MYN164","Lawn & Landscaping","","","","","White","","","","","Mayne Inc","","","","","","","","4843-W","","","","",
"255499927701","MYN168","Lawn & Landscaping","","","","","Black","","","","","Mayne Inc","","","","","","","","5860-B","","","","",
"265623491378","MLRS6775","Lawn & Landscaping","","","Plastic","","","","","","3","Melrose","","","","","","","","38465","","","","",
"265644479374","MLRS1961","Lawn & Landscaping","","","Metal","","","","","","2","Melrose International","","","","","","","","74095","","","","",
"265623532802","MLRS2296","Lawn & Landscaping","","","","","","","","","4","Melrose International","","","","","","","","74530","","","","",
"265623489365","MLRS8594","Lawn & Landscaping","","Bamboo","Bamboo","","","","","","","Melrose International","","","","","","","","82189","","","","",
"255738438371","MSHMCL6621","Lawn & Landscaping","","","","Large","","","","Round","","Moes Home Collection","","","","","","","","BQ-1053-05","","","","",
"255483837704","BSMR3649","Lawn & Landscaping","Raised Bed","","","","","","","","","MV Industrie","","","","","","","","L775","","","","",
"265644613092","TRVAL122054","Lawn & Landscaping","","","","","","","","Square","5","Novelty Manufacturing","","","","","","","","243548","","","","",
"255464862689","TRVAL122051","Lawn & Landscaping","Bowl","","","","","","","","5","Novelty Manufacturing","","","","","","","","246470","","","","",
"265623545528","TRVAL122050","Lawn & Landscaping","","","","","Gray","","","","5","Novelty Manufacturing","","","","","","","","246509","","","","",
"265623545495","ACHR155602","Lawn & Landscaping","","","Wood","","Gray","","Outdoor","","4","Outdoor Essentials","","","","","","","","7014550","","","","",
"255483949087","ACHR156582","Lawn & Landscaping","Pot","","Plastic","","","","","","","POT TOES","","","","","","","","8063782","","","","",
"265644472907","ZX9GRNM115","Lawn & Landscaping","","","","","","","","","","LAWNITATOR","","","","","","","","LA306406","","","","",
"265634317639","SMTC1058","Lawn & Landscaping","","","","","","","","","","Smart Carts Enterprises","","","","","","","","Elevated28x26x24","","","","",
"265639533397","SMTC1051","Lawn & Landscaping","","","","","","","","Rectangular","","Smart Carts","","","","","","","","RectPlanter39","","","","",
"265644491848","SPIHM2970","Lawn & Landscaping","","","","","","","","","","SPI Home","","","","","","","","34794","","","","",
"255464870069","BFG5281","Lawn & Landscaping","","","","","","","","Square","","Tusco","","","","","","","","TUSCTU32ES","","","","",
"255488833653","ZX9GRNM031","Lawn & Landscaping","","","","","Red","","","","","LAWNITATOR","","","","","","","","LA732130","","","","",
"255476961792","QKWY1270","Lawn & Landscaping","","","","","","","Indoor","Square","","Uniquewise","","","","","","","","QI004000.GN","","","","",
