Item Id,SKU,Application,Type,Number in Pack,Brand,Material,Construction,Item Width,Color,Item Length,Orientation,Item Diameter,Model,Custom Bundle,Country/Region of Manufacture,Bundle Description,Item Weight,MPN,California Prop 65 Warning,Compatible Brand,Compatible Model,Year Manufactured,
"265697879209","TWST8645","","Fireplaces","","Dura-Vent","","","","","","","","","","","","","4PVP-60F","","","","",
"255518231458","ZX9USTV044","Chimney","Fireplaces","6","Dare2Decor","","","","","","","","","","","","","DA579310","","","","",
"265665625033","CPP21643","","Fireplaces","6","DuraVent","","","","","","","","","","","","","69012","","","","",
"255575132406","CPP21647","","Fireplaces","8","DuraVent","","","","","","","","","","","","","69856","","","","",
"255737896066","TRVAL67894","","Fireplaces","6","DuraVent","","","","","","","","","","","","","164653","","","","",
"255539188541","TWST4412","","Elbow","6","DuraVent","Stainless Steel,Galvanized Steel,Steel","Twin Wall","","Black","","Horizontal/Vertical","","","","","","","6DVL-E45","","","","",
"255575071792","TWST5158","Stove","Stove Pipe","1","DuraVent","Aluminum,Stainless Steel,Galvanized Steel,Steel","Single Wall","6 in","Black","6 in","Horizontal/Vertical","6 in","6DVL-48","","","","5 lb","6DVL-48","","For DuraVent","For DuraVent","",
"265695225336","TWST5396","","Fireplaces","","DuraVent","","","","","","","","","","","","","4185252","","","","",
"255728779432","CUIC5540","","Fireplaces","","Empire","","","","","","","","","","","","","WG484LT","","","","",
"255541861873","CUIC5539","","Fireplaces","","Empire","","","","","","","","","","","","","WG604LT","","","","",
"255534537275","CPPF1900","","Fireplaces","8","CD","","","","","","","","","","","","","96217","","","","",
"255728570272","ZX9CPPF1900","","Fireplaces","8","PerfectPillows","","","","","","","","","","","","","PE2547738","","","","",
"265887716729","ZX9CPPF2509","","Fireplaces","8","Ricki&apos;s Rugs","","","","","","","","","","","","","RI2212562","","","","",
"265695083670","ZX9CPPF5165","","Fireplaces","8","PerfectPillows","","","","","","","","","","","","","PE1655687","","","","",
"255528992620","CPPF5165","","Fireplaces","8","CD","","","","","","","","","","","","","96218","","","","",
"255489108268","CPPF2509","Chimney","Fireplaces","8","Chimney","","","","","","","","","","","","","96218","","","","",
"255737809105","ZX9CPPF2510","","Fireplaces","10","Ricki&apos;s Rugs","","","","","","","","","","","","","RI2201408","","","","",
"265669432348","CPPF2510","Chimney","Fireplaces","10","Chimney","","","","","","","","","","","","","96219","","","","",
"265697865460","ZX9CPPF5166","","Fireplaces","10","PerfectPillows","","","","","","","","","","","","","PE1655688","","","","",
"255513060179","CPPF5166","","Fireplaces","10","CD","","","","","","","","","","","","","96219","","","","",
"265897130710","ZX9TWST5527","Fireplace","Fireplaces","","LovelyHome","","","","Black","","","","","","","","","LO2673850","","","","",
"255541732091","ZX9TWST8645","","Fireplaces","","Homeric","","","","","","","","","","","","","HO866233","","","","",
"265690754753","TWST4661","Chimney","Fireplaces","","FMI","","","","","","","","","","","","","18-12DM","","","","",
"265669411729","CPPF3245","Stove","Fireplaces","","CD","","","","","","","","","","","","","43610","","","","",
"265887743861","ZX9CPPF2165","","Fireplaces","","PerfectPillows","","","36 in","Black","","","","","","","","","PE2547790","","","","",
"265883881339","ZX9CPPF2220","","Fireplaces","10","PerfectPillows","","","48 in","","","","","","","","","","PE2547802","","","","",
"265680133959","CPPF2220","","Fireplaces","10","CD","","","48 in","","","","","","","","","","47150","","","","",
"265669252725","BSTWC4734","","Fireplaces","7","Gray Metal","Metal","","","","","","","","","","","","7-30-300","","","","",
"255539024688","ZX9TRVAL56570","","Fireplaces","4","FinalFrame","","","","","","","","","","","","","FI602780","","","","",
"255488938393","ZX9ORGL37504","Stove","Fireplaces","5","FinalFrame","","","","","","","","","","","","","FI108026","","","","",
"265884066729","ZX9TRVAL56541","","Fireplaces","5","FinalFrame","","","","","","","","","","","","","FI2671098","","","","",
"255509838733","ZX9TRVAL56556","","Fireplaces","6","FinalFrame","","","","","","","","","","","","","FI570933","","","","",
"265669323725","ZX9TRVAL56569","","Fireplaces","8","FinalFrame","","","","","","","","","","","","","FI570934","","","","",
"255529039004","ZX9TRVAL56544","","Fireplaces","8","FinalFrame","","","","","","","","","","","","","FI572918","","","","",
"265669110975","ZX9TRVAL56576","","Fireplaces","5","FinalFrame","","","","","","","","","","","","","FI572920","","","","",
"255738003981","ZX9CPPF2521","","Fireplaces","","PerfectPillows","","","","","","","","","","","","","PE2547850","","","","",
"255518285956","CPPF2521","","Fireplaces","","CD","","","","","","","","","","","","","48950","","","","",
"255728905624","WLLCH7140","","Fireplaces","2","HART & COOLEY","","","","White","","","","","","","","","382W10X6R","","","","",
"265897059751","WLLCH7143","Stove","Fireplaces","","HART & COOLEY","","","","","","","","","","","","","3PSV-TWK","","","","",
"265690596936","WLLCH1493","Chimney","Fireplaces","6","HART & COOLEY","","","","","","","","","","","","","6HSRKS","","","","",
"265684744060","WLLCH1494","Chimney","Fireplaces","8","HART & COOLEY","","","","","","","","","","","","","8HSRKS","","","","",
"265883934156","ZX9LIND1305","","Fireplaces","6","JaggedDesigns","","","38 in","Black","","","","","","","","","JA2608364","","","","",
"265884097689","ZX9LIND1157","","Fireplaces","8","JaggedDesigns","","","","","","","","","","","","","JA2608354","","","","",
"265887721405","ZX9LIND1087","","Fireplaces","8","JaggedDesigns","","","48 in","Black","","","","","","","","","JA799948","","","","",
"265884169629","ZX9WLLCH12533","","Fireplaces","6","ManMade","","","","","","","","","","","","","MA2682864","","","","",
"255513150007","CPP4886","","Fireplaces","3","Home Saver","","","","","","","","","","","","","296751","","","","",
"255737960411","CPP4887","","Fireplaces","3","Home Saver","","","","","","","","","","","","","296752","","","","",
"265679952602","CPP4889","","Fireplaces","5","Home Saver","","","","","","","","","","","","","296754","","","","",
"265644729461","CPP4891","","Fireplaces","","Home Saver","","","","","","","","","","","","","296756","","","","",
"255728558465","CPP4893","","Fireplaces","6","Home Saver","","","","","","","","","","","","","296758","","","","",
"265690602159","CPP4894","","Fireplaces","6","Home Saver","","","","","","","","","","","","","296759","","","","",
"265887512279","ZX9CPPF257","","Fireplaces","","PerfectPillows","Stainless Steel","","","","","","","","","","","","PE2547851","","","","",
"255541595774","CPPF3558","","Fireplaces","4","CD","","","","","","","","","","","","","17519","","","","",
"255528991403","ZX9LIND1265","","Fireplaces","","JaggedDesigns","","","36 in","Black","","","","","","","","","JA1665658","","","","",
"255541606333","ZX9LIND1437","","Fireplaces","","JaggedDesigns","","","36 in","Black","","","","","","","","","JA92684","","","","",
"265887657166","ZX9LIND1753","","Fireplaces","","JaggedDesigns","","","","","","","","","","","","","JA2608404","","","","",
"255737751181","ZX9LIND1724","","Fireplaces","","JaggedDesigns","","","","","","","","","","","","","JA2608401","","","","",
"265887579567","ZX9LIND1539","","Fireplaces","","JaggedDesigns","","","","","","","","","","","","","JA2608388","","","","",
"265883969093","ZX9LIND1621","","Fireplaces","","JaggedDesigns","","","","","","","","","","","","","JA2608395","","","","",
"255738078591","ZX9LIND1747","","Fireplaces","","JaggedDesigns","","","","","","","","","","","","","JA2608403","","","","",
"265887579827","ZX9LIND1623","","Fireplaces","","JaggedDesigns","","","","","","","","","","","","","JA2446224","","","","",
"255509690808","TRVAL56570","","Fireplaces","4","Imperial Manufacturing","","","","","","","","","","","","","272195","","","","",
"265669247862","ORGL37504","Stove","Fireplaces","5","Imperial Manufacturing","","","","","","","","","","","","","4488680","","","","",
"265697845185","TRVAL56541","","Fireplaces","6","Imperial Manufacturing","","","","","","","","","","","","","134392","","","","",
"265684758639","TRVAL56556","","Fireplaces","6","Imperial Manufacturing","","","","","","","","","","","","","868448","","","","",
"265644660142","TRVAL56569","","Fireplaces","8","Imperial Manufacturing","","","","","","","","","","","","","265892","","","","",
"265695172781","TRVAL56544","","Fireplaces","8","Imperial Manufacturing","","","","","","","","","","","","","265876","","","","",
"265665549907","TRVAL56576","","Fireplaces","8","Imperial Manufacturing","","","","","","","","","","","","","740498","","","","",
"265887587614","ZX9WLLCH4599","Stove","Fireplaces","","ComfyCushions","","","","","","","","","","","","","CO2073316","","","","",
"265690520718","CPPF9827","","Fireplaces","6","Lennox Hearth Products","","","","","","","","","","","","","67666","","Lennox","","",
"265669235074","CPPF1389","","Fireplaces","6","CD","","","","","","","","","","","","","67615","","Lennox","","",
"265883914502","ZX9CPPF6760","","Fireplaces","6","Ricki&apos;s Rugs","","","","","","","","","","","","","RI2548250","","Lennox","","",
"265695172734","CPPF6760","Chimney","Fireplaces","6","Chimney","","","","","","","","","","","","","67666","","Lennox","","",
"265887586466","CPPF1709","Chimney","Fireplaces","6","Chimney","","","","","","","","","","","","","67608","","Lennox","","",
"265680052429","CPPF1397","","Fireplaces","6","CD","","","","","","","","","","","","","67677","","Lennox","","",
"255518075907","CPPF1393","","Fireplaces","6","CD","","","","","","","","","","","","","67682","","Lennox","","",
"255509760218","CPPF1412","","Fireplaces","6","CD","","","","","","","","","","","","","67675","","Lennox","","",
"265887848340","ZX9CPPF1412","","Fireplaces","6","PerfectPillows","","","","","","","","","","","","","PE2547686","","Lennox","","",
"255575080497","LIND2032","","Fireplaces","8","Lindemann","","","","","","","","","","","","","102388","","","","",
"255513492292","LIND1538","","Fireplaces","6","Lindemann","Stainless Steel","","","","","","","","","","","","140106","","","","",
"255518269536","LIND1724","","Fireplaces","","Lindemann","","","","","","","","","","","","","140110","","","","",
"265665259046","LIND1747","","Fireplaces","","Lindemann","","","","","","","","","","","","","140208","","","","",
"255518170344","LIND1540","","Fireplaces","","Lindemann","","","","","","","","","","","","","141109","","","","",
"265674109935","LIND1539","","Fireplaces","","Lindemann","","","","","","","","","","","","","141110","","","","",
"265674009010","LIND1621","","Fireplaces","","Lindemann","","","","","","","","","","","","","141206","","","","",
"255528896447","LIND1622","","Fireplaces","","Lindemann","","","","","","","","","","","","","141207","","","","",
"265644880638","LIND1754","","Fireplaces","","Lindemann","","","","","","","","","","","","","141209","","","","",
"255539197494","LIND1753","","Fireplaces","","Lindemann","","","","","","","","","","","","","141210","","","","",
"265669341751","LIND1360","Chimney","Fireplaces","7","Lindemann","","","","","","","","","","","","","150507","","","","",
"255509952151","LIND1361","Chimney","Fireplaces","8","Lindemann","","","","","","","","","","","","","150508","","","","",
"265669411519","LIND1458","Chimney","Fireplaces","9","Lindemann","","","","","","","","","","","","","150509","","","","",
"265644767039","LIND1537","Chimney","Fireplaces","10","Lindemann","","","","","","","","","","","","","150510","","","","",
