Item Id,SKU,Room,Features,Color,Material,Brand,Pattern,Shape,Size,Style,Theme,Pile Height,Personalize,Country/Region of Manufacture,Personalized,Regional Design,Type,Item Width,Item Length,Weave,Department,Pile Type,Model,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Era,Personalization Instructions,
"255724932483","SPRCH87065","","","","","Deflecto","","Rectangle","","","","","","","","","Rugs","","","","","","","DEFCM11142PB","","","","","",
"265684752791","SSN34230","","","Clear","","Deflecto","","","","","","","","","","","Rugs","","","","","","","CM11442FCOM","","","","","",
"255728685091","SSN34240","","","Clear","","Deflecto","","Rectangle","","","","","","","","","Rugs","","","","","","","CM14142","","","","","",
"255728714171","SSN50402","","","","","Deflecto","","","","","","","","","","","Rugs","","","","","","","CM14142BLK","","","","","",
"265690476203","SSN34231","","","","","Deflecto","","","","","","","","","","","Rugs","","","","","","","CM14242COM","","","","","",
"255725116205","SPRCH87067","","","","","Deflecto","","Rectangle","","","","","","","","","Rugs","","","","","","","DEFCM2E142PB","","","","","",
"265665358377","GC22460","","","","","Dog Gone Smart","","","","","","","","","","","Rugs","","","","","","","DGSDDR6021","","","","","",
"255728891011","DLMP2913","","","Multicolor","","Familymaid","","","","","","","","","","","Rugs","","","","","","","10812","","","","","",
"265674052746","KSAO420328","","","Gold","","FAULKNER","","","","","","","","","","","Rugs","","","","","","","FLK-46322","","","","","",
"265695210636","KSAO420356","","","Green","","FAULKNER","","","","","","","","","","","Rugs","","","","","","","FLK-48705","","","","","",
"255524278574","GNVH1108","","","","","Geneva Healthcare","","Square","","","","","","","","","Rugs","","","","","","","30-124-00","","","","","",
"255513371085","SPRCH37309","","","","","Genuine Joe","","","","","","","","","","","Rugs","","","","","","","GJO02402","","","","","",
"255539199453","SPRCH37310","","","","","Genuine Joe","","","","","","","","","","","Rugs","","","","","","","GJO02403","","","","","",
"265695217128","SPRCH37311","","","","","Genuine Joe","","","","","","","","","","","Rugs","","","","","","","GJO02404","","","","","",
"265644770809","SPRCH37312","","","","","Genuine Joe","","","","","","","","","","","Rugs","","","","","","","GJO02405","","","","","",
"265669173107","SPRCH48868","","","","","Genuine Joe","","","","","","","","","","","Rugs","","","","","","","GJO59460","","","","","",
"255538987564","SPRCH48869","","","Brown","","Genuine Joe","","","","","","","","","","","Rugs","","","","","","","GJO59461","","","","","",
"255724912141","ZX9TRVAL67718","","","","","Homeric","","","","","","","","","","","Rugs","","","","","","","HO2671550","","","","","",
"255737835045","OCNTR52528","","","Gray","","HomeRoots","","","","","","","","","","","Rugs","","","","","","","401003","","","","","",
"255539188169","ZX9ITDR119","","","","","Micasa","","","","","","","","","","","Rugs","","","","","","","MI330963","","","","","",
"265887644182","TRVAL121264","","","Black","","Logo Mats","","","","","","","","","","","Rugs","","","","","","","253336","","","","","",
"255725341760","TRVAL128470","","","","","Logo Mats","","","","","","","","","","","Rugs","","","","","","","273864","","","","","",
"255539198531","TRVAL128472","","","","","Logo Mats","","","","","","","","","","","Rugs","","","","","","","273865","","","","","",
"265684706583","TRVAL67718","","","","","Logo Mats","","","","","","","","","","","Rugs","","","","","","","103934","","","","","",
"265887617482","ZX9AZCROWMAFG62BK","","","Black","","H2H","","","","","","","","","","","Rugs","","","","","","","H22524135","","","","","",
"255524124137","SSN59782","","","","","Millennium","Diamond","","","","","","","","","","Rugs","","","","","","","EGDFB040804","","","","","",
"265887821748","CPP13805","","","","","Minuteman","","","","","","","","","","","Rugs","","","","","","","3577943","","","","","",
"255539143917","CPP13806","","","","","Minuteman","","","","","","","","","","","Rugs","","","","","","","3577944","","","","","",
"255737876823","ZX9SSN59782","","","","","Accesorios","Diamond","","","","","","","","","","Rugs","","","","","","","AC2659745","","","","","",
"265644855618","ZX9AZCROWNR0310GY","","","Gray","","H2H","","","","","","","","","","","Rugs","","","","","","","H239108","","","","","",
"255725081269","ORSNO338082","","","Black","","Notrax","","","","","","","","","","","Rugs","","","","","","","550-549S2840YB","","","","","",
"255728918252","ZX9RTLCR052","","","","Rubber","Solid Storage Supplies","","","","","","","","","","","Rugs","","","","","","","SO2468038","","","","","",
"255513152302","PVI160","","","","Plastic","Prairie View Industries","","","","","","","","","","","Rugs","","","","","","","BHR1110ANTBR","","","","","",
"265684869884","PVI161","","","","Plastic","Prairie View Industries","","","","","","","","","","","Rugs","","","","","","","BHR1110BRIBURG","","","","","",
"255513170726","PVI163","","","","Plastic","Prairie View Industries","","","","","","","","","","","Rugs","","","","","","","BHR1110NUTMEG","","","","","",
"265695200641","PVI164","","","","Plastic","Prairie View Industries","","","","","","","","","","","Rugs","","","","","","","BHR1110SKYBLUE","","","","","",
"255725067267","RTLCR052","","","","Rubber","PRAIRIE VIEW INDUSTRIES Inc","","","","","","","","","","","Rugs","","","","","","","RAEZ2100","","","","","",
"265887634060","ZX9AZTY03859","","","Black","","DwellingDesigns","","","","","","","","","","","Rugs","","","","","","","DW189669","","","","","",
"265695081508","ZX9AZCROWWSCT35TC","","","","","H2H","","","","","","","","","","","Rugs","","","","","","","H2192653","","","","","",
"255728608925","ZX9SPRCH48869","","","Brown","","DwellingDesigns","","","","","","","","","","","Rugs","","","","","","","DW2470497","","","","","",
"265684752700","ZX9SPRCH37311","","","Black","","DwellingDesigns","","","","","","","","","","","Rugs","","","","","","","DW523813","","","","","",
