Item Id,SKU,Brand,Color,Model,MPN,Cage Type,Material,Pet Type,Size,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"265731205429","ZX9YMLG087","Peticare","Black","","PE145690","Breeding Cage","","","Medium","","","","","","",
"265603666928","ZX9PVPP004","BPF","White","","BP117496","","","","","","","","","","",
"255444544659","YMLG2200","YML Group","Gold","","600AGOLD","","","Parrot","","","","","","","",
"255461349344","YMLG2200","YML Group","Gold","","600AGOLD","","","Parrot","","","","","","","",
"255444542232","YMLG059","YML","Black","","1704BLK","","","","","","","","","","",
"255444545394","YMLG060","YML","White","","1704WHT","","","","","","","","","","",
"265603682359","YMLG061","YML","Black","","1754BLK","","","","","","","","","","",
"265603692438","YMLG062","YML","White","","1754WHT","","","","","","","","","","",
"265731200323","YMLG079","YML","Black","","3x2494BLK","","","","","","","","","","",
"255576387084","YMLG080","YML","White","","3x2494WHT","","","","","","","","","","",
"255576388517","YMLG085","YML","Black","","4134BLK","","","","Small","","","","","","",
"265731208151","YMLG086","YML","White","","4134WHT","","","","Small","","","","","","",
"255576379293","YMLG087","YML","Black","","4164BLK","Breeding Cage","","","Medium","","","","","","",
"255576380025","YMLG088","YML","White","","4164WHT","Breeding Cage","","","Medium","","","","","","",
"255444543359","YMLG091","YML","Black","","4514BLK","","","","","","","","","","",
"265603680318","YMLG092","YML","White","","4514WHT","","","","","","","","","","",
"265731211027","YMLG2191","YML","","","4x2464BLK and 1x4164BLK","","","","Medium","","","","","","",
"255576379414","YMLG227","YML","","","4x2464BLK","","","","Small","","","","","","",
"265731206892","YMLG095","YML","White","","4x2464WHT","","","","Medium","","","","","","",
"255576393433","YMLG226","YML","","","4x2474BLK","","","","Small","","","","","","",
"255576391785","YMLG100","YML","","","4x2474WHT and 1x4164WHT","","","","Medium","","","","","","",
"265731207699","YMLG102","YML","White","","DSA24FH2418,4X2484WHT,833775004429","","","","Large","","","","","","",
"255444561831","YMLG3276","YML","Black","","5824_4814BLK","","","","","","","","","","",
"255444538569","YMLG103","YML","White","","58244814WHT","","","","Small","","","","","","",
"255444578137","YMLG3287","YML","Black","","5834_4814BLK","","","Parrot","Small","","","","","","",
"255444592621","YMLG3286","YML","White","","5834_4814WHT","","","Parrot","Small","","","","","","",
"265603690164","YMLG3284","YML","White","","5834WHT","","","Parrot","Small","","","","","","",
"255444594459","YMLG104","YML","Black","","5844_4814BLK","","","","Small","","","","","","",
"265603676812","YMLG105","YML","White","","5844_4814WHT","","","","Small","","","","","","",
"255444572967","YMLG106","YML","Black","","5844BLK","","","","Small","","","","","","",
"255444604518","YMLG107","YML","White","","5844WHT","","","","Small","","","","","","",
"265603711021","YMLG111","YML","Black","","5924BLK","","","","Small","","","","","","",
"265603671329","YMLG114","YML","Black","","5984BLK","","","Parrot","Small","","","","","","",
"255444578809","YMLG115","YML","White","","5984WHT","","","Parrot","Small","","","","","","",
"265731205181","YMLG2183","YML","","","600ACHR","","","Parrot","","","","","","","",
"255576388887","YMLG2181","YML","","","600HCHR","","","Parrot","","","","","","","",
"265731208070","YMLG2180","YML","","","600HCP","","","Parrot","","","","","","","",
"265603678062","YMLG130","YML","White","","6804_4814WHT","","","","Small","","","","","","",
"265603711193","YMLG131","YML","White","","6804WHT","","","","Small","","","","","","",
"255444556089","YMLG135","YML","White","","6844WHT","","","","Small","","","","","","",
"255444537469","YMLG136","YML","Black","","6894_4814BLK","","","","Small","","","","","","",
"265603657903","YMLG137","YML","White","","6894_4814WHT","","","","Small","","","","","","",
"265603714098","YMLG139","YML","White","","6894WHT","","","","Small","","","","","","",
"255576382432","YMLG3283","YML","","","6924_4814BLK","","","","","","","","","","",
"255576387500","YMLG3256","YML","","","6924_4814WHT","","","","","","","","","","",
"265731206645","YMLG140","YML","Black","","6x2424BLK","","","","Small","","","","","","",
"265731206062","YMLG2189","YML","Green","","6x2424MIX","","","","Small","","","","","","",
"265731206563","YMLG143","YML","","","6x2424WHT and 1x 4134WHT","","","","Small","","","","","","",
"255576386619","YMLG142","YML","White","","6x2424WHT","","","","Small","","","","","","",
"255576379627","YMLG3248","YML","Silver","","EF2222AS","","","Parrot","","","","","","","",
"255576380830","YMLG151","YML","White","","EF2222WHT","","","Parrot","","","","","","","",
"265731210456","YMLG3249","YML","Silver","","ER2222AS","","","Parrot","","","","","","","",
"265731199304","YMLG3250","YML","White","","ER2222WHT","","","Parrot","","","","","","","",
