Item Id,SKU,Brand,Type,Size,Style,Outer Shell Material,Size Type,Fabric Type,Color,Lining Material,Insulation Material,Theme,Features,Pattern,Accents,Department,Performance/Activity,Model,Product Line,Closure,Season,Character,Country/Region of Manufacture,Jacket/Coat Length,Fit,Occasion,Vintage,Warmth Weight,Collar Style,Personalize,Handmade,Garment Care,Chest Size,California Prop 65 Warning,MPN,Personalization Instructions,
"255230554939","307918",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230554939","307917",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230554939","307916",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264908445365","304839","Unbranded","Jacket",,"Ski Jacket","Cashmere","Regular","Softshell","Gray","Cashmere","cashmere","Outdoor","Full Zip,Thermal,Waterproof","Solid","Hooded","Men","Cross Country","","Winter Sports Jackets","Zip","Winter","","","","Regular","Skiing, Outdoor Sports","","","","","","","","","","",
"264908445365","304842",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264908445365","304841",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264908445365","304840",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264908445365","307924",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264908445365","307925",,,"4XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264908445365","307926",,,"5XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264908445365","307927",,,"6XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254631955353","115819","Rocky Mountain Hides","Jacket",,"Motorcycle Jacket","Leather","Regular","","Black","Polyester","Polyester","Motorcycle","Pockets","Solid","Zipper","Men","Riding","","","Lace Up,Zip","Fall,Spring,Winter","Bikers Jacket","Pakistan","","Regular","Casual,Formal,Travel","","","","","","","","","","",
"254631955353","115761",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771803762","115893","Rocky Mountain Hides","Vest",,"Biker","Leather","Regular","","Black","Polyester","Polyester","Motorcycle","All Seasons,Collarless,Pockets","Solid","Side Straps","Men","Riding","","","Zip","Fall,Spring,Summer,Winter","Biker's Vest","Pakistan","","Regular","Casual,Travel","","","","","","","","","","",
"264771803762","115783",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771803762","115782",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771803762","115781",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771803762","115780",,,"3X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771803762","115779",,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
