Item Id,SKU,Brand,Style,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"255576453441","ZX9RTL156204","HighBoy","","HI680763","","","","","","","",
"255576575767","ZX9create600","HighBoy","","HI1657389","","","","","","","",
"265627030687","ZX9BFFT2060","Highkey","","LR194047","","","","","","","",
"255468727609","ZX9BFFT2062","Highkey","","LR200492","","","","","","","",
"255468725328","ZX9BFFT2069","Highkey","","LR1523190","","","","","","","",
"255576554859","RTL156395","Lorell","","LLR40202","","","","","","","",
"265731312093","RTL156394","Lorell","","LLR40201","","","","","","","",
"265731359940","RTL156393","Lorell","","LLR40200","","","","","","","",
"255576471849","SPRCH65088","Lorell","","LLR20026","","","","","","","",
"255576478660","SPRCH81774","Lorell","","LLR20027","","","","","","","",
"265731395122","SPRCH39475","Lorell","","LLR23100","","","","","","","",
"265731284034","SPRCH69685","Lorell","","LLR30953","","","","","","","",
"265731409526","SPRCH69686","Lorell","","LLR30954","","","","","","","",
"265731351569","SPRCH85585","Lorell","","LLR42956","","","","","","","",
"255576561744","SPRCH85586","Lorell","","LLR42957","","","","","","","",
"255576493968","SPRCH65238","Lorell","","LLR59539","","","","","","","",
"255576592878","SPRCH25524","Lorell","","LLR60122","Lorell LLR60122","","","","","","",
"265731321693","SPRCH26375","Lorell","","LLR60462","","","","","","","",
"265731343093","SPRCH82546","Lorell","","LLR60510","","","","","","","",
"265731425975","SPRCH82547","Lorell","","LLR60511","","","","","","","",
"265731432602","SPRCH91284","Lorell","","LLR62009","","","","","","","",
"265731297246","SPRCH92392","Lorell","","LLR62625","","","","","","","",
"255576549093","SPRCH90313","Lorell","","LLR66996","","","","","","","",
"265731389960","SPRCH90314","Lorell","","LLR66997","","","","","","","",
"265731319733","SPRCH90315","Lorell","","LLR66998","","","","","","","",
"255576504683","SPRCH90318","Lorell","","LLR67001","","","","","","","",
"255576594491","SPRCH90319","Lorell","","LLR67002","","","","","","","",
"255576624283","SPRCH90320","Lorell","","LLR67003","","","","","","","",
"255576631753","SPRCH27390","Lorell","","LLR68551","","","","","","","",
"255576441197","SPRCH27393","Lorell","","LLR68554","","","","","","","",
"255576487424","SPRCH81779","Lorell","","LLR68557","","","","","","","",
"255576519379","SPRCH86179","Lorell","","LLR68559","","","","","","","",
"265731291804","SPRCH86180","Lorell","","LLR68560","","","","","","","",
"265731426836","SPRCH86182","Lorell","","LLR68562","","","","","","","",
"265731436465","SPRCH90323","Lorell","","LLR68564","","","","","","","",
"255576471957","SPRCH88705","Lorell","","LLR68574","","","","","","","",
"265731325809","SPRCH26051","Lorell","Office/Desk Chair","LLR80008","LLR80008","","","","","","",
"255576560550","SPRCH78023","Lorell","","LLR82094","","","","","","","",
"255576621213","SPRCH40027","Lorell","","LLR84576","","","","","","","",
"255576522544","SPRCH65058","Lorell","","LLR84586","","","","","","","",
"255576600165","SPRCH65189","Lorell","","LLR84587","","","","","","","",
"255576579245","SPRCH40044","Lorell","","LLR86202","","","","","","","",
"265731378912","SPRCH82666","Lorell","","LLR86923","","","","","","","",
"265731313813","RTL156342","Lorell","","LLR85566","","","","","","","",
"265731421182","RTL156545","Lorell","","LLR85567","","","","","","","",
"265731350356","RTL156490","Lorell","","LLR20019","","","","","","","",
"265731359446","RTL156199","Lorell","","LLR30956","","","","","","","",
"265731279197","ZX9SPRCH69685","NewestEdition","","NE530626","","","","","","","",
"255576605187","ZX9SSN9100","FineFabrics","","FI518671","","","","","","","",
"265731302835","ZX9SPRCH40044","NewestEdition","","NE511656","","","","","","","",
"255576587800","ZX9SSN42339","FineFabrics","","FI1627744","","","","","","","",
"255576505123","RNCY1482","Niche","","N2050LNTBK","","","","","","","",
"255576527095","SSN77592","Officestar","","TV230-JT4","","","","","","","",
"255576557860","AZERTY14102","OIF","Mid-Back Chair","BT4510","BT4510","","","","","","",
"255576542632","AZERTY14103","OIF","","GM4119","","","","","","","",
"265731376364","SSN11655","OIF","Drafting/Task Chair","ST4859","","","","","","","",
"255576538268","AZERTY14101","OIF","","ST4819","ST4819","","","","","","",
"255576544017","ZX9RTL156545","NewestEdition","","NE122260","","","","","","","",
"255576501367","RNCY2270","Regency","","1950BK","","","","","","","",
"265731440747","RNCY1282","Regency","","4400BE4PK","","","","","","","",
"265731277443","RNCY1283","Regency","","4400BK4PK","","","","","","","",
"265731437245","RGCS1053","Regency","","9004BK","","","","","","","",
"265731424487","RGCS1055","Regency","","9004CBK","","","","","","","",
"265731437352","RGCS1056","Regency","","9004CBY","","","","","","","",
"265731305573","RNCY355","Regency","","9476NTNV","","","","","","","",
"265731302659","RGCS2330","Regency","","9875MHL","","","","","","","",
"265731272859","SPRCH105300","Safco Products","","SAF6829BL","","","","","","","",
"265731414712","WTB02798","SEATEAK","","60067-WHT","","","","","","","",
"265731329841","WTB02799","SEATEAK","","60068-BLU","","","","","","","",
"255576546389","WTB02800","SEATEAK","","60068-WHT","","","","","","","",
"255576590100","CLDST29479","United Stationers","","ALENR4319","","","","","","","",
